Title/Paragraph,Content
Paragraph,All the details you need to know about borrowing and reservations.
Paragraph,Mobile library bus operated by NLB to reach out to young children and promote reading and lifelong learning.
Paragraph,Check out NLB’s Grab-n-Go libraries in public spaces.
Paragraph,Discover new experiences outside of libraries.
Paragraph,Work with us to transform NLB into a national platform of lifelong learning.
Paragraph,Partner us to nurture thoughtful people who reflect deeply on information they access everyday.
Paragraph,"Join us in inspiring discovery, creating Singapore stories and instilling appreciation of our collective experience."
Paragraph,"Help us bridge gaps, include more and empower all in this digital age."
Paragraph,Join us to make our libraries and archives happy places.
Paragraph,Strike a balance between business objectives and making a positive impact on your community.
Paragraph,
Paragraph,Join us to make an impact in the lives of less privileged children through reading.
Paragraph,We welcome donations that contribute to the preservation of Singapore’s documentary heritage. Find out more here.
Paragraph,Read about some of our donors and their donations.
Paragraph,We are grateful to all who have donated and enriched our collections.
Paragraph,"Do you have a question regarding donations, or how donated materials are made accessible? Check out our FAQs here."
Paragraph,
Paragraph,"Everyone deserves to experience the joys of reading, learning and discovering. Help us make library and archives services more inclusive."
Paragraph,Calling for your support.
Paragraph,Donations that made a difference.
Paragraph,"Help us describe photos, transcribe documents, annotate eBook or submit your personal memory about Singapore."
Paragraph,Explore our datasets or leverage our suite of APIs to create or integrate with your app.
Paragraph,An overview about Singapore’s National Library Board (NLB).
Paragraph,Learn about NLB's principles and guidelines in building a useful and evolving collection.
Paragraph,Understand NLB's role and statutory functions.
Paragraph,Find out about NLB's initiatives to serve everyone's reading and learning needs.
Paragraph,"Discover our LAB25, a blueprint to transform libraries and archives of the future."
Paragraph,National Library Board Annual Report 2022 / 2023 Innovations Through Partnerships
Paragraph,Overview about Institutions and Subsidaries.
Paragraph,"Custodian of Singapore's collective memory, ranging from government files, private memoirs, historical maps and more."
Paragraph,"Singapore's national library with the largest public reference collection covering social sciences, local works and more."
Paragraph,Our Board charts NLB’s strategic direction.
Paragraph,
Paragraph,
Paragraph,Our Management Team guides NLB to achieve our vision and mission.
Paragraph,View our Organisation Chart.
Paragraph,"Find our latest media releases, speeches, annual reports and corporate publications here."
Paragraph,Check out our latest updates.
Paragraph,Read the key speeches given by our leaders and other stakeholders.
Paragraph,View our current and past annual reports.
Paragraph,Get an at-a-glance summary of our work and the impact we have made.
Paragraph,Access our in-depth resources on areas of interest.
Paragraph,Browse NLB’s publications across a wide variety of topics.
Paragraph,"This evocative collection of more than 150 picture postcards offers insight into Japanese society in Singapore in the late 19th and early 20th centuries from the Lim Shao Bin Collection in the National Library, Singapore."
Paragraph,Overview about careers at National Library Board Singapore.
Paragraph,Explore a career with the libraries and archives.
Paragraph,"Find out more about our scholarship, requirements and application period."
Paragraph,Apply for our Research Fellowships or Creative Residency.
Paragraph,Ever wondered what librarians do? Find out what makes our librarians tick as they share highlights of their work from the collections at the Library.
Paragraph,An overview of National Library Board's international engagements.
Paragraph,Find out who our partners are.
Paragraph,Learn more about the latest developments of libraries and archives from top leaders around the world.
Paragraph,"Find out how we support IFLA, the international organisation for libraries."
Paragraph,Share
Paragraph,"Thomas Stamford Raffles (Sir) (b. 6 July 1781, off Port Morant, Jamaica–d. 5 July 1826, Middlesex, England)1 is known as the founder of modern Singapore. Besides signing the treaty with Sultan Hussein Shah of Johor on 6 February 1819 that gave the British East India Company the right to set up a trading post in Singapore, Raffles made several other contributions that helped establish Singapore as a thriving settlement.ContributionsFounding of SingaporeIn December 1818, Raffles left Calcutta in search of a new British settlement to replace Malacca. Malacca was one of the many British territories returned to the Dutch under the Treaty of Vienna. Raffles had foreseen that without a strategic British trading post located within the Straits, the Dutch could gain control of Straits trade.2 Raffles arrived in Singapore on board the Indiana on 28 January 1819. Accompanied by William Farquhar and a sepoy, he met Temenggong Abdul Rahman to negotiate for a British trading post to be established on the island. On 6 February 1819, Raffles signed an official treaty with Sultan Hussein and the Temenggong and on this day, the Union Jack was officially hoisted in Singapore.3Raffles Town Plan (Jackson Plan)Raffles conceived a town plan to remodel Singapore into a modern city. The plan comprised the formation of separate clusters to house the different ethnic groups, and the provision of facilities such as roads, schools and land for government buildings.4 In October 1822, a Town Committee was formed by Raffles to oversee the project. This committee comprised Captain Charles Edward Davis of the Bengal Native Infantry as president, civil servant George Bonham and merchant A. L. Johnston.5 Lieutenant Philip Jackson was tasked to draw up the plan according to Raffles’s instructions, and the resultant plan was published in 1828.6Free portRaffles devised a set of policies and regulations that outlined the objectives of Singapore’s harbour, helping to establish the settlement as a free port. Singapore was chosen, by virtue of its strategic geographical location, to compete with other ports under the control of the Dutch.7 Law and orderRaffles instituted the administration of justice to ensure peace and order in the thriving settlement. He founded the Resident Court, appointed magistrates, and implemented trial by jury. In addition, he instituted the abolishment of activities such as public gambling, slavery and cock-fighting.8Singapore InstitutionShortly after the establishment of a British settlement in Singapore, one of Raffles’s immediate concerns was the formation of an institution of higher learning to educate the sons of the Malay chiefs; to teach the native languages to officers of the East India Company; and to collect the literature on the traditions, and laws and customs of the country.9 A site along a stretch of road, now known as Bras Basah Road, was chosen for this purpose.10 Raffles laid the foundation stone of this institution on 5 June 1823. The building was completed only in 1837, and was occupied by the Singapore Free School which operated as the Singapore Institution Free School.11 In 1856, the Singapore Institution Free School was renamed Singapore Institution.12 In the school’s annual report for 1868, the school was referred to as Raffles Institution.13 The Singapore Library (now known as the National Library) was established within the Singapore Institution building on 22 January 1845.14 The first bridgeIn 1822, Raffles assigned Lieutenant Philip Jackson to build a bridge across the Singapore River. The bridge, called Presentment Bridge, was also known as Jackson’s bridge, and extended across the Singapore River until 1842. Jackson’s bridge was eventually demolished and replaced in 1844 with another bridge called Thomson’s Bridge, which was used as a foot bridge until 1846.15Career highlights161795: Gains employment as a clerk at the British East India Company.8 Mar 1805: Becomes assistant secretary to Philip Dundas, the governor of Penang.Oct 1810: Appointed by Lord Minto, the governor-general of India (1807–1813), as agent to the governor-general of the Malay States.Sep 1811: Appointed lieutenant-governor of Java.May 1817: Receives knighthood from the Prince Regent, King George IV. 6 Feb 1819: Signs a treaty with Sultan Hussein Shah and Temenggong Abdul Rahman, establishing Singapore as a British settlement.Jun 1823: Founds the Singapore Institution.Apr 1826: Elected president of the Zoological Society. AuthorHeirwin Mohd NasirReferences1. Demetrius Charles Boulger, The Life of Sir Stamford Raffles (Amsterdam: Pepin Press, 1999), 2, 387. (Call no. RSING 959.57021092 BOU-[HIS])2. Walter Makepeace, Gilbert E. Brooke and Roland St. J. Braddell, eds., One Hundred Years of Singapore (Singapore: Oxford University Press, 1991), 6–7. (Call no. RSING 959.57 ONE-[HIS])3. Sir Thomas Stamford Raffles: Book of Days, (Singapore: Antiques of the Orient, 1993), 67, 71. (Call no. RSING 959.57021092 SIR-[HIS])4. Charles Burton Buckley, An Anecdotal History of Old Times in Singapore (Singapore: Oxford University Press, 1984), 79–87. (Call no. RSING 959.57 BUC-[HIS]) 5. Donald Moore and Joanna Moore, The First 150 Years of Singapore (Singapore: Donald Moore Press, 1969), 82. (Call no. RSING 959.57 MOO-[HIS]); Buckley, Anecdotal History of Old Times in Singapore, 74–75, 81.6. Harold Frankauthor Pearson, “Lt Jackson’s Plan of Singapore,” Journal of the Malaysian Branch of the Royal Asiatic Society, 42, no. 1 (215) (July 1969), 161–165. (From JSTOR via NLB’s eResources website)7. Boulger, Life of Sir Stamford Raffles, 308–10, 333.8. Makepeace, Brooke and Braddell, One Hundred Years of Singapore, 59, 76, 162–63.9. Buckley, Anecdotal History of Old Times in Singapore, 122.10. Victoria Glendinning, Raffles and the Golden Opportunity 1781–1826 (London: Profile Books Ltd, 2012), 250, 252. (Call no. RSING 959.57021092 GLE-[HIS])11. Moore and Moore, First 150 Years of Singapore, 97; Singapore Institution Free School, Report (Singapore Institution Free School), 1834–62 (Singapore: Mission Press, 1862), 3. (From BookSG)12. Theodore R. Doraisamy, cont. and ed., 150 Years of Education in Singapore (Singapore: Teachers’ Training College Publications Board, 1969), 22. (Call no. RSING 370.95957 TEA)13. Buckley, Anecdotal History of Old Times in Singapore, 139.14. Makepeace, Brooke and Braddell, One Hundred Years of Singapore, 526, 528.15. Victor R. Savage and Brenda S. A. Yeoh, Singapore Street Names: A Study of Toponymics (Singapore: Marshall Cavendish Editions, 2013), 116, 304. (Call no. RSING 915.9570014 SAV-[TRA])16. Book of Days, 6–7.Further resourcesSir Thomas Stamford Raffles: A Comprehensive Bibliography., ed. Alice Loh (Singapore: Singapore Resource Library, National Library Board, 1997). (Call no. RSING 016.95957 SIR)"
Paragraph,"Sophia Raffles, Memoir of the Life and Public Services of Sir Thomas Stamford Raffles/Lady Sophia Raffles (Singapore: Oxford University Press, 1991). (Call no. RSING 959.57021092 RAF-[HIS])The information in this article is valid as at January 2019 and correct as far as we are able to ascertain from our sources. It is not intended to be an exhaustive or complete history of the subject. Please contact the Library for further reading materials on the topic."
Paragraph,
Paragraph,
Paragraph,"The information on this page and any images that appear here may be used for private research and study purposes only. They may not be copied, altered or amended in any way without first gaining the permission of the copyright holder."
